title,description,link,platform,publish_at,country,location,categories
Inside Vegas Underground PIMP Life (Unreleased),"Vegas has a side you won’t see under the neon lights—a world of hustle, power, and survival where the rules are anything but ordinary. This isn’t the glamorized Vegas tourists know; it’s the underground, where every move is calculated, and respect is earned, not given. The pimp life here is raw, intense, and far from Hollywood’s version of it.

Inside this world, loyalty and hustle are everything. It’s a game of control, survival, and resilience, where every interaction has stakes most people can’t imagine. This is the hidden Vegas, unfiltered and uncut, where life is lived on the edge and survival is an art form.",https://rumble.com/v34sz0a-inside-vegas-pimp-life-unreleased.html,rumble,"June 9, 2023",USA,Las Vegas,"Documentary, Travel, Interviews, Social Issues, Exploration"
Moroccans Warn Me About Dangers of Casablanca (ft. SNEAKO),"Casablanca isn’t just a city—it’s a world of contrasts, where vibrant culture meets hidden dangers. Locals here don’t sugarcoat the risks; they know the city’s secrets and live by an unspoken code of survival. Every street holds a story, and every warning comes from hard-earned experience.

This is the real Casablanca, far from the movie scenes and tourist spots. Here, trust is rare, and the lines between safety and risk blur fast. Walking these streets isn’t for the naive—it’s for those who respect the layers of a city that’s beautiful, intense, and unapologetically real.",https://rumble.com/v34s2bw-moroccans-warn-me-about-dangers-of-casablanca.html,rumble,"June 13, 2023",Morocco,Casablanca,"Social Issues, Travel, Humanisation, Exploration, Religion"
Kidnapped by Brazilian Girl to Remote Island (EXTENDED CUT),"Getting “kidnapped” by a Brazilian girl wasn’t in the plans, but in Brazil, things rarely go as expected. This wasn’t just a wild night out—it was an unexpected dive into Brazil’s intense, unpredictable vibe. Every moment was a reminder that here, life is lived with passion, spontaneity, and a hint of danger.

In Brazil, boundaries are different, and every encounter can turn into an adventure you didn’t see coming. This extended cut shows the thrill, the energy, and the raw intensity that define Brazilian culture. It’s real, it’s unfiltered, and it’s a ride you won’t forget.",https://rumble.com/v34shf6-kidnapped-by-brazilian-girl-extended-cut.html,rumble,"June 19, 2023",Brazil,Rio,"Humanisation, Interviews, Adventure, Social Issues, Documentary"
I Spent a Day with Rio Brazil’s Most Dangerous Gang (UNCENSORED EXTENDED CUT),"In the favelas, leaders aren’t born—they’re made by resilience, respect, and a lifetime of navigating one of the toughest environments on earth. This isn’t about power for show; it’s about survival, loyalty, and holding together a community that faces challenges outsiders can barely grasp. Every decision, every move is a balancing act of courage and strategy.

This extended cut goes deeper into the life of a favela leader, showing the grit, the respect, and the unbreakable spirit it takes to survive and lead in these streets. It’s raw, it’s real, and it’s a view into a world where strength means everything.",https://rumble.com/v34rz74-favela-leader-extended-cut.html,rumble,"July 3, 2023",Brazil,Rio,"Documentary, Humanisation, Culture, Danger, Social Issues"
Bribing a Cop in Morocco (EXTENDED CUT),"Casablanca isn’t just a city; it’s a maze of culture, intensity, and secrets that run deep. This extended cut dives beyond the tourist scenes into the real Casablanca, where locals live by unspoken rules and every corner has a story. It’s a place where beauty and danger coexist, where resilience is a way of life, and respect is earned in ways outsiders don’t see.

Walking these streets is a test of adaptability, a lesson in survival wrapped in the vibrant energy of Moroccan life. This is Casablanca unfiltered—a world of contrasts that’s as gritty as it is unforgettable.",https://rumble.com/v34t68u-casablanca-extended-cut.html,rumble,"July 11, 2023",Morocco,Casablanca,"Adventure, Social Issues, Crime, Culture, Documentary"
SNEAKO Simps in Marrakech (Extended Cut),"Marrakech is a city that overwhelms the senses—a chaotic blend of colors, sounds, and a rhythm that’s unlike anywhere else. This isn’t the polished version you see in guides; it’s raw and unpredictable. Walking these streets with Sneako, every turn brought a new layer of intensity, where the old world and modern hustle meet in ways that are both captivating and relentless.

In Marrakech, nothing is handed to you, and everything has a story. This extended cut goes deep into the heart of the city, capturing the energy, the grit, and the unspoken rules that define life here. Marrakech is wild, it’s real, and it demands your respect.",https://rumble.com/v34rgq4-marrakech-morocco-w-sneako-extended-cut.html,rumble,"July 19, 2023",Morocco,Marrakech,"Documentary, Social Issues, Danger, Travel, Crime"
"France, Monaco, Italy in one Day w/Amanda","Crossing France, Monaco, and Italy in a single day isn’t just a road trip—it’s a whirlwind dive through three distinct worlds, each with its own energy and intensity. With Brazilian Amanda by my side, every stop was an adventure, from the elegance of Monaco’s streets to the raw beauty of Italy’s coast. This journey wasn’t about sightseeing; it was about experiencing the heartbeat of each place in real time.

In just one day, we saw the contrasts, the culture, and the unfiltered charm of Europe. This is the kind of trip that hits fast and leaves an impact—three countries, one day, and a whole lot of unforgettable moments.",https://rumble.com/v38s06m-visiting-france-monaco-italy-in-one-day-with-brazilian-amanda.html,rumble,"August 18, 2023",Monaco,-,"Danger, Documentary, Humanisation, Culture, Adventure"
ISIS Military Base on the Syrian Border,"At the Syrian-Lebanese border, lies an abandoned ISIS military base—a stark reminder of a past conflict that’s still etched into the landscape. Walking through this desolate ground, you can feel the weight of what happened here, a place once filled with the chaos of war. It’s eerie, raw, and a harsh look into the remnants of a fight that shaped the region.

This isn’t just a place; it’s a ghost of a dark time, left scarred by the intensity of battles fought and lives changed. The silence here speaks volumes, capturing the tension, the history, and the reality of a world that has seen too much.",https://rumble.com/v3f56af-isis-military-base-in-syrialebanese-border.html,rumble,"September 5, 2023",Lebanon,Aarsal,"Religion, Adventure, Danger, Documentary, Interviews"
Underground Railroad Tunnels of Mumbai,"In this chaotic intersection in India, the beeping of horns is constant, to the point where you stop hearing it. There's no respect for traffic signals—red and green lights mean nothing, and it's every person for themselves. The noise pollution is overwhelming, far worse than New York City, and you just get used to it. The intersection itself is a free-for-all, with people and motorbikes crossing in all directions, oblivious to the chaos. This is a glimpse into the unpredictable, raw energy of everyday life in India.",https://www.youtube.com/watch?v=GZG2Tbf9LOY,youtube,"October 12, 2023",India,Mumbai,"Adventure, Exploration, Danger, Social Issues, Crime"
Dealer Offers Me Indian Meth (Extended Cut),"Exploring India’s streets at 6:00 a.m., the quiet is deceptive. As the day progresses, the honking never stops, and the chaos is real. From cows walking down highways to tuk-tuk drivers sleeping in their vehicles, India is a place of contrasts. In Bandra, a high-class area, the streets are dirty, but there's a unique sense of life. People are everywhere—eating, working, or simply living on the streets. I’m navigating this maze of traffic, stray dogs, and vendors, trying street food, dodging garbage, and negotiating my way through a land of constant movement and noise. India is intense—beautiful, dirty, chaotic, and incredibly alive.",https://www.youtube.com/watch?v=tCXaHKTxceg,youtube,"October 12, 2023",India,Mumbai,"Humanisation, Travel, Documentary, Exploration, Danger"
Brazilian Tarzan Snorts Ancient Amazonian Powder,"In São Paulo, Brazil, I’m heading to meet a jungle master who will guide me into the Amazon rainforest. After connecting with him through a friend, I arrive at his home, greeted by a traditional atmosphere filled with skulls and spiritual artifacts. We're preparing for a journey into the jungle where I'll be fully immersed in a world of nature, survival, and ancient wisdom. This trip promises to challenge me physically and mentally, pushing me into the heart of the wild, far from the comforts of the city. Let's dive into the unknown and explore this land with the guidance of someone who truly understands its depths.",https://www.youtube.com/watch?v=l3JfIhJTs6w,youtube,"October 12, 2023",Brazil,São Paulo ,"Danger, Crime, Travel, Adventure, Exploration"
Sliced in the Slums of Mumbai,"This video provides a unique glimpse into life in the slums of Mumbai, India, as the host gets a beard trim from a local barber. While the trim is happening, they discuss everything from the local hustle to the impact of methamphetamine in the area. The barber shares his experiences and dreams of owning his own shop while navigating the challenges of living in a crowded, vibrant city filled with contrasts. From the small-scale transactions in the slums to the corruption and hustle of Mumbai, this clip gives insight into the determination and resilience of people trying to make a living in tough conditions.",https://www.youtube.com/watch?v=N2kP5NiAUWQ,youtube,"October 13, 2023",India,Mumbai,"Humanisation, Exploration, Travel, Religion, Danger"
"Slave labor leather factories of Dharavi, India","In the slums of Mumbai, the narrator explores leather factories where workers cut leather by hand, earning about $5 a day for 8-10 hours of work. The factories, operating in harsh conditions, recycle plastic and leather into products for local markets. Despite the grueling work, there's no time for complaining; survival is prioritized. The video emphasizes the resilience of people working in dire conditions and reflects on the contrast between their hard lives and viewers' more comfortable realities, urging appreciation for what one has.",https://www.youtube.com/watch?v=ycfRHHjjuoM,youtube,"October 16, 2023",India,Mumbai,"Social Issues, Interviews, Travel, Adventure, Documentary"
"The Rat Poison Slum of Andheridongar, India","The streets of Mumbai reveal a raw reality, where life is lived in the open, with people working, playing, and surviving on every corner. The host and his guide, Shadik, navigate through local slums, encountering everything from street vendors to kids with big dreams. They talk about the impact of drugs, gang violence, and the resilience of people facing harsh conditions. The experience offers a glimpse into daily life, exploring topics like dating, family, and the hustle that keeps these communities going despite everything.",https://www.youtube.com/watch?v=tk2k5pbTy3A,youtube,"October 16, 2023",India,Mumbai,"Religion, Culture, Social Issues, Travel, Interviews"
"The Trash People of Dharavi, India","In the heart of the bustling streets, the host navigates through Mumbai's slums, showcasing the raw realities of life in these communities. They explore the local markets, recycling businesses, and plastic factories where workers earn a mere $5 a day, dealing with hospital waste and harsh conditions. Amidst the filth and poverty, there's a spirit of resilience, but also a looming danger from the drug trade and gangs. As the sun sets, the host reflects on the disparity between the life they're filming and the comfort many take for granted, emphasizing the harsh truths of daily survival in the slums.",https://www.youtube.com/watch?v=ASV2Y43onFY,youtube,"October 17, 2023",India,Dharavi,"Culture, Danger, Religion, Exploration, Social Issues"
the Indian Meth Addicts Who live Under a Pipe,"Ever wonder what life is like for the people society tends to forget? I found myself face-to-face with a community of meth addicts living under a pipe, and their stories are as raw as it gets. This isn’t your typical documentary—no filters, no scripts, just a reality check on how brutal life can turn when you’re on the edge. These people, fighting demons most of us can’t even imagine, gave me a glimpse into a life that most look away from. It’s gritty, uncomfortable, and absolutely real. Brace yourselves—this one’s going to stick with you.",https://rumble.com/v3q6gld-meth-addicts-who-live-under-a-pipe.html,rumble,"October 18, 2023",India,Dharavi,"Exploration, Danger, Interviews, Travel, Humanisation"
"Dharavi, World’s Largest Slum [Extended Cut]","Step inside the world’s largest slum—the place where survival takes on a whole new meaning. This isn’t just a look at poverty; it’s an up-close dive into a life that pushes the limits of human endurance. The people here are tough, adapting to conditions you wouldn’t believe. It’s chaotic, it’s intense, and it’s filled with stories of resilience that you won’t find anywhere else. I spent time on the ground, capturing the raw truth and seeing firsthand what it’s like when the odds are stacked against you. Get ready for a journey you won’t forget.",https://rumble.com/v3q6n4m-worlds-largest-slum-extended-cut.html,rumble,"October 18, 2023",India,Dharavi,"Danger, Social Issues, Culture, Religion, Crime"
Indian Beggars Follow Me Around for 15 Minutes,"Imagine walking through the streets of India and having a crowd of beggars follow you nonstop for 15 minutes. This isn’t a scene you’d see every day—it’s real life, unfiltered. The desperation in their eyes and the persistence in their steps show a harsh reality that’s hard to ignore. It’s raw, it’s chaotic, and it gives a glimpse into what poverty really looks like here. This experience pushed me to confront the tough questions about humanity and survival. Watch as we navigate through moments that are intense, eye-opening, and unforgettable.",https://rumble.com/v3qchlw-indian-beggars-follow-me-around-for-15-minutes.html,rumble,"October 19, 2023",India,Mumbai,"Travel, Danger, Crime, Adventure, Documentary"
Arab Gets Comfortable with the Transgender Spirits of Hinduism [EXTENDED CUT],"Venturing into one of India’s hidden subcultures, I found myself face-to-face with the underground world of trans pimps. This isn’t a side of society many talk about—it's raw, taboo, and incredibly complex. In Part 1 of this series, I uncover the real stories behind the faces, the struggles, and the gritty reality of an existence that defies every norm. The people here live by their own rules in a world most of us couldn’t imagine. Prepare for an unfiltered dive into a world that challenges everything you thought you knew.",https://rumble.com/v3rc35b-trans-pimps-of-india-part-1.html,rumble,"October 24, 2023",India,Mumbai,"Social Issues, Religion, Interviews, Crime, Adventure"
Arab Establishes Dominance 1v4 [FULL PERFORMANCE],"In the bustling streets of Mumbai, I found myself in the heart of a vibrant yet gritty community of transgenders, where survival is a constant hustle. This isn’t just another story—it’s an unfiltered look at a world that few dare to explore. I stepped into their space, got real, and faced the raw truth of their daily battles. It’s a culture that mixes resilience with intensity, where respect is earned, and every interaction has weight. This experience took me way beyond the surface, showing a side of Mumbai that few get to see up close.",https://rumble.com/v3rcsbp-transgenders-of-mumbai-get-dominated-by-arab.html,rumble,"October 24, 2023",India,Mumbai,"Travel, Culture, Crime, Interviews, Social Issues"
Arab Becomes a REAL HINDU on Accident,"I took a dive into the unknown, capturing raw moments that unfolded on October 24, 2023. This was a day filled with unfiltered encounters and intense interactions, where reality hit harder than ever. From the gritty streets to hidden corners, each place had its own story waiting to be uncovered. This isn’t just a glimpse—it’s a journey into the unexpected, where the truth of what’s out there speaks louder than anything else. Join me as I expose the raw, the real, and the unforgettable from this eye-opening day.",https://rumble.com/v3rdgc5-october-24-2023.html,rumble,"October 24, 2023",India,Mumbai,"Documentary, Humanisation, Adventure, Exploration, Interviews"
Transgenders of Hinduism Part 2 [EXTENDED CUT],"In this journey, I delve deep into the world of the Kinnar, or Hijras, a unique and ancient transgender community within Hinduism. This isn’t just about identity—it’s a complex blend of spirituality, tradition, and survival in a society that sees them both revered and marginalized. I met the people behind the label, witnessing their rituals, struggles, and resilience in a way that challenges everything you thought you knew. This is an unfiltered look at a world filled with contrasts, where culture and identity intertwine in ways most of us rarely see.",https://rumble.com/v3s07qv-trans-2-kinnarhijras-of-hinduism.html,rumble,"October 27, 2023",India,Mumbai,"Religion, Interviews, Travel, Crime, Exploration"
Underground GOAT FIGHTING Rings of India,"Deep in the heart of India’s underground, there’s a world where goat fighting reigns supreme. This isn’t just a sport—it’s a tradition packed with intensity, raw power, and rivalries that run deep. The energy here is wild, with crowds roaring as goats clash in fierce battles. This isn’t something you’d see every day; it’s a slice of India’s culture that’s raw, chaotic, and unforgettable. Get ready to witness a side of India that’s as gritty as it gets.",https://rumble.com/v3s2kqb-underground-goat-fighting-of-india.html,rumble,"October 27, 2023",India,Pune,"Crime, Culture, Religion, Exploration, Danger"
Attempting to Locate the Cannibals of Varanasi,"Varanasi after dark is something else—chaotic, mystical, and raw. The energy here doesn’t die down; if anything, it only gets more intense as night falls. From the ancient rituals by the Ganges to the narrow, bustling streets, every corner has a story, every face a secret. This isn’t just a city; it’s an experience that hits you in ways you don’t expect. Night one was just the beginning, a discovery of what makes Varanasi unlike any place on earth. Buckle up—this journey is about to get real.",https://rumble.com/v3tac30-varanasi-night-1-discovery.html,rumble,"November 2, 2023",India,Varanasi,"Exploration, Interviews, Crime, Religion, Adventure"
Arab Meets an Undercover Chinese Spy,"Meeting an undercover Chinese spy wasn’t on the agenda, but things took a turn, and here we are. This encounter goes beyond the movies—it’s real, raw, and intense in ways you can’t script. The conversation went places I didn’t expect, uncovering layers of secrecy and tension that few get to see up close. This isn’t just a casual meet-up; it’s a look into a world where deception runs deep and every word has weight. Get ready to dive into one of the wildest experiences yet, where truth and mystery collide.",https://rumble.com/v3vwt5p-arab-meets-an-undercover-chinese-spy.html,rumble,"November 15, 2023",ARE,Dubai,"Adventure, Travel, Danger, Social Issues, Culture"
Indian Slum Street Food Bonanza,"November 21, 2023—a day that took me through unexpected encounters and raw moments that don’t make the headlines. From hidden corners to bustling streets, the reality here hits different. This isn’t the kind of day you can plan for; it’s gritty, unscripted, and filled with the stories of people most of us overlook. Every interaction brought me closer to the pulse of real life, where the struggles and the hustle are laid bare. This day left a mark, capturing the essence of life in its rawest form.",https://rumble.com/v3x2x4p-november-21-2023.html,rumble,"November 22, 2023",India,Asia,"Travel, Documentary, Humanisation, Religion, Interviews"
I Spent a Day in Morocco’s Most Dangerous Hood (Removed From YouTube),"Spending a day in Morocco’s most dangerous hood isn’t something you’re prepared for. This place has its own rules, its own vibe, and it’s as raw as it gets. From the people who call these streets home to the intense, unpredictable energy around every corner, this was a day that pushed every limit. There’s no sugarcoating here—just real stories, real faces, and a side of Morocco few outsiders get to see. This isn’t just about danger; it’s about survival, respect, and resilience in one of the toughest places out there.",https://rumble.com/v37fcym-i-spent-a-day-in-moroccos-most-dangerous-hood.html,rumble,"November 24, 2023",Morocco,Sale,"Social Issues, Crime, Humanisation, Religion, Adventure"
The City that Burns Humans Alive | VARANASI,"Welcome to the city where life and death coexist in a way that’s hard to grasp—where bodies are burned in open flames and rituals unfold right in front of you. This isn’t just another city; it’s a place with traditions that are raw, intense, and unapologetically real. Watching these ceremonies is a reminder of how different life can be, where death is not hidden but embraced. This extended cut dives deep into the culture, the people, and the raw reality of a city that leaves a mark on everyone who steps into it.",https://rumble.com/v3tp6js-the-city-that-burns-humans-alive-extended-cut.html,rumble,"November 24, 2023",India,Varanasi,"Danger, Crime, Adventure, Travel, Documentary"
Arab Meets Timmy Karter in Mexico,"December 2, 2023—another day in the depths of reality that most people avoid. From gritty street encounters to unfiltered moments that test your comfort zone, this wasn’t your average day. It’s real, it’s intense, and it’s filled with stories from people who live life on the edge every single day. This is where survival isn’t just a concept; it’s a lifestyle. Every face, every interaction is a reminder of how raw the world can be. This one’s going to stick with you.",https://rumble.com/v3zaqcb-december-2-2023.html,rumble,"December 3, 2023",Mexico,Mexico City,"Danger, Interviews, Documentary, Social Issues, Crime"
Day 1 of Living with the Cartel [Approval Process/Refugee Camps/Death],"Diving into the dark underbelly of the internet, Episode 1 takes you straight into the world of cartel websites—a place where crime and technology collide in ways you wouldn’t believe. This isn’t just a story; it’s a firsthand look at the hidden operations, the coded language, and the ruthless reality behind the screen. From drug deals to organized crime, this episode peels back the layers on a world that operates in the shadows. Get ready to see how the cartel adapts to the digital age, where secrecy and danger are only a click away.",https://rumble.com/v41budv-cartel-website-episode-1-v3.html,rumble,"December 14, 2023",Mexico,Mexico City,"Adventure, Interviews, Exploration, Travel, Danger"
Day 2 of Living with the Cartel [Illegal Pharmacies/Moonshine/Barber],"Episode 2 takes you deeper into the digital world of the cartel, where each click and code hides something darker. This isn’t just any website; it’s a network built to evade, operate, and survive under the radar. We’re talking encrypted deals, hidden identities, and a ruthless game where trust doesn’t exist. From the tech they use to the tactics they rely on, this episode reveals the lengths cartels go to keep their operations alive online. Brace yourself—this is the underworld of the internet, raw and unfiltered.",https://rumble.com/v42imb5-cartel-website-episode-2-fix-v2.html,rumble,"December 17, 2023",Mexico,Mexico City,"Exploration, Humanisation, Travel, Social Issues, Interviews"
Day 2.5 of Living with the Cartel [Guns + Graffiti],"December 22, 2023—another day that threw me straight into the depths of reality. From intense encounters to stories most people turn away from, this day wasn’t just about seeing the world; it was about feeling the raw, unfiltered truth of it. Every moment was a reminder of the struggles, the grit, and the resilience of people who live life with everything on the line. This isn’t just a day; it’s a journey into a world that hits harder than any story could. Get ready for the real side of life, up close and personal.",https://rumble.com/v42tyw6-december-22-2023.html,rumble,"December 23, 2023",Mexico,Mexico City,"Adventure, Religion, Documentary, Travel, Exploration"
Day 3 of Living with the Cartel [Secret Hideout/Guns/Women],"Exploring the cartel’s hidden online world, where digital shadows conceal real dangers. This isn’t just any website—it’s a system built to keep crime thriving under the radar. Behind every encrypted message and hidden network lies a calculated move, showing the lengths cartels go to survive in the digital age. This journey takes you up close with the tech and tactics that keep them one step ahead, revealing a world where trust is scarce and stakes are life or death. Prepare to see a side of the internet most people will never know.",https://rumble.com/v436a8p-cartel-episode-3-website-cut-render.html,rumble,"December 24, 2023",Mexico,Mexico City,"Exploration, Culture, Adventure, Social Issues, Danger"
Open Drug Market in Streets of Rio,"In the streets of Rio, the open drug market is a reality that few outsiders ever witness. It’s chaotic, raw, and relentless—a place where deals happen in plain sight, and survival is the only rule that matters. Walking through these alleys, you see the harsh truth of life shaped by addiction and crime, with every corner holding stories of struggle and survival. This isn’t the Rio seen in postcards; it’s a gritty world that shows the darker side of the city, where desperation meets resilience on every street.",https://rumble.com/v34yq1y-open-drug-market-in-streets-of-rio.html,rumble,"January 13, 2024",Brazil,Rio,"Adventure, Exploration, Crime, Documentary, Humanisation"
I Kidnapped Speed in Brazil’s Favelas [Extended Cut],"Uncovering the depths of Brazil’s hidden online world, where the digital realm meets the underground. This isn’t just any website—it’s a gateway to a side of Brazil most never see, where crime, survival, and secrecy intersect. Every click reveals layers of a network that operates under the radar, showcasing the resilience and tactics used to keep things hidden from the surface. It’s a glimpse into a digital underworld that mirrors the gritty reality of life on Brazil’s toughest streets, where the stakes are high and every move counts.",https://rumble.com/v46p8p9-brazil-website-episode.html,rumble,"January 14, 2024",Brazil,Rio,"Interviews, Social Issues, Exploration, Humanisation, Crime"
Brazil but without Gangs [Extended Cut],"Santa Catarina, Brazil, without the favelas—this is a side of Brazil few get to see. A place where the beauty of the landscape and the calm of the streets mask a deeper, more complex reality. It’s Brazil, but without the chaos of the favelas, where life seems a bit more peaceful, yet still raw and real. This vlog takes you through a part of the country that’s often overlooked, offering a fresh perspective on what life is like when you step away from the usual hustle. It's not all what you expect—there’s a different kind of intensity here, one you won’t forget.",https://rumble.com/v48umau-santa-catarina-brasil-website-vlog-brazil-but-without-favelas.html,rumble,"January 24, 2024",Brazil,Santa Catarina,"Travel, Religion, Documentary, Culture, Interviews"
Scammers Attack Me in Dubai’s Illegal Markets [Part 2],"Dubai—a city known for its luxury and towering skyscrapers, but there’s a side to it that doesn’t make the brochures. Beneath the glamor lies a world of intense hustle, hidden stories, and real struggles. This journey takes you beyond the polished surface to reveal the side of Dubai that most people overlook. From gritty alleys to high-stakes encounters, it’s a raw look at a city built on ambition, where everyone’s chasing something bigger. Get ready to see Dubai stripped down to its real, unfiltered core.",https://rumble.com/v4ax572-dubai2-website-video-fix-v2.html,rumble,"January 28, 2024",ARE,Dubai,"Religion, Interviews, Culture, Adventure, Social Issues"
